filename,species,genotype,tissue,condition,light,day,rep,osdr_source
OSD-476_lunar_OSD-476supgreystanda_001.jpg,Arabidopsis thaliana,,plate/shoot,Lunar regolith study,,,,OSD-476_sup_grey_standard.tiff
OSD-476_lunar_210518-P3_002.jpg,Arabidopsis thaliana,,plate/shoot,Lunar regolith study,,captured 2021-05-18,plate P3,LSDS-12_morphometric-photography_210518-P3.tiff
OSD-476_lunar_210517-P4_003.jpg,Arabidopsis thaliana,,plate/shoot,Lunar regolith study,,captured 2021-05-17,plate P4,LSDS-12_morphometric-photography_210517-P4.tiff
OSD-476_lunar_210517-P1_004.jpg,Arabidopsis thaliana,,plate/shoot,Lunar regolith study,,captured 2021-05-17,plate P1,LSDS-12_morphometric-photography_210517-P1.tiff
OSD-476_lunar_210516-P2_005.jpg,Arabidopsis thaliana,,plate/shoot,Lunar regolith study,,captured 2021-05-16,plate P2,LSDS-12_morphometric-photography_210516-P2.tiff
OSD-476_lunar_210515-P3_006.jpg,Arabidopsis thaliana,,plate/shoot,Lunar regolith study,,captured 2021-05-15,plate P3,LSDS-12_morphometric-photography_210515-P3.tiff
OSD-476_lunar_210514-P4_007.jpg,Arabidopsis thaliana,,plate/shoot,Lunar regolith study,,captured 2021-05-14,plate P4,LSDS-12_morphometric-photography_210514-P4.tiff
OSD-476_lunar_210514-P1_008.jpg,Arabidopsis thaliana,,plate/shoot,Lunar regolith study,,captured 2021-05-14,plate P1,LSDS-12_morphometric-photography_210514-P1.tiff
OSD-476_lunar_210513-P2_009.jpg,Arabidopsis thaliana,,plate/shoot,Lunar regolith study,,captured 2021-05-13,plate P2,LSDS-12_morphometric-photography_210513-P2.tiff
OSD-476_lunar_210512-P3_010.jpg,Arabidopsis thaliana,,plate/shoot,Lunar regolith study,,captured 2021-05-12,plate P3,LSDS-12_morphometric-photography_210512-P3.tiff
OSD-476_lunar_210510-P4_011.jpg,Arabidopsis thaliana,,plate/shoot,Lunar regolith study,,captured 2021-05-10,plate P4,LSDS-12_morphometric-photography_210510-P4.tiff
OSD-476_lunar_210510-P1_012.jpg,Arabidopsis thaliana,,plate/shoot,Lunar regolith study,,captured 2021-05-10,plate P1,LSDS-12_morphometric-photography_210510-P1.tiff
OSD-476_lunar_210509-P2_013.jpg,Arabidopsis thaliana,,plate/shoot,Lunar regolith study,,captured 2021-05-09,plate P2,LSDS-12_morphometric-photography_210509-P2.tiff
OSD-476_lunar_210508-P3_014.jpg,Arabidopsis thaliana,,plate/shoot,Lunar regolith study,,captured 2021-05-08,plate P3,LSDS-12_morphometric-photography_210508-P3.tiff
OSD-476_lunar_210507-P4_015.jpg,Arabidopsis thaliana,,plate/shoot,Lunar regolith study,,captured 2021-05-07,plate P4,LSDS-12_morphometric-photography_210507-P4.tiff
OSD-476_lunar_210507-P1_016.jpg,Arabidopsis thaliana,,plate/shoot,Lunar regolith study,,captured 2021-05-07,plate P1,LSDS-12_morphometric-photography_210507-P1.tiff
OSD-476_lunar_210506-P2_017.jpg,Arabidopsis thaliana,,plate/shoot,Lunar regolith study,,captured 2021-05-06,plate P2,LSDS-12_morphometric-photography_210506-P2.tiff
OSD-476_lunar_210505-P3_018.jpg,Arabidopsis thaliana,,plate/shoot,Lunar regolith study,,captured 2021-05-05,plate P3,LSDS-12_morphometric-photography_210505-P3.tiff
OSD-476_lunar_210504-P4_019.jpg,Arabidopsis thaliana,,plate/shoot,Lunar regolith study,,captured 2021-05-04,plate P4,LSDS-12_morphometric-photography_210504-P4.tiff
OSD-476_lunar_210504-P1_020.jpg,Arabidopsis thaliana,,plate/shoot,Lunar regolith study,,captured 2021-05-04,plate P1,LSDS-12_morphometric-photography_210504-P1.tiff
